10	333	3
10	520	4
10	589	4
10	802	5
10	1012	3
10	1091	3
10	1269	5
10	2072	4
10	2093	4
10	2100	5
10	2108	5
10	2294	4
10	3087	5
10	3255	4
11	333	4
11	778	4
11	3255	3
13	457	2
13	589	5
15	257	3
15	457	4
15	524	4
15	1500	3
15	2126	3
15	2188	3
15	2605	3
19	457	3
19	589	4
19	940	4
19	1334	3
19	1373	2
19	2527	3
19	2653	1
19	2700	4
19	2713	2
19	3752	4
34	1091	4
34	1381	1
34	1500	4
34	1888	3
34	2072	2
34	2100	3
34	2108	1
34	2700	4
34	2794	5
34	2915	4
34	3087	4
39	2605	1
39	2700	4
39	3752	1
45	46	5
45	753	2
45	802	3
45	1235	4
45	1269	3
45	1500	1
45	1888	2
45	1966	2
45	2100	4
45	2168	3
45	2385	2
45	2700	1
45	2915	4
45	3087	3
45	3255	3
45	3284	5
55	457	5
55	589	5
67	2915	4
70	2605	2
70	2700	5
72	82	5
72	3255	4
83	2093	2
83	2100	3
83	2700	2
83	2701	1
88	1284	4
88	2915	5
92	546	5
92	589	3
92	709	3
92	1381	4
92	1754	2
92	1907	5
92	2072	4
92	2093	4
92	2100	2
92	2102	3
92	2126	1
92	2188	1
92	2294	3
92	2605	2
92	2700	4
92	2701	2
92	2713	1
92	3255	5
92	3752	1
104	2701	3
104	3649	2
117	293	3
117	457	2
117	546	3
117	589	5
117	1274	5
117	1373	3
117	1381	3
117	1500	3
117	1907	4
117	1960	5
117	1987	1
117	2100	1
117	2294	3
117	2527	3
117	2664	2
117	2700	4
117	2701	3
117	3754	1
140	1269	3
140	1284	4
143	2108	3
143	2700	1
144	2605	4
158	1284	4
161	293	4
161	373	5
161	535	5
161	778	5
161	1500	3
161	1960	4
161	2664	5
161	2700	5
161	2857	4
161	2890	4
161	2915	5
161	2988	4
162	293	5
162	457	4
162	589	5
162	1500	5
162	1907	5
171	1111	5
177	589	3
179	589	3
179	1274	3
179	1373	3
180	1053	3
186	293	5
186	589	5
186	1907	4
186	2102	4
186	2294	4
186	2700	4
186	2701	4
186	2713	3
192	100	1
192	257	2
192	293	3
192	333	4
192	457	4
192	524	3
192	546	1
192	589	5
192	802	2
192	1004	1
192	1373	1
192	1399	5
192	1459	3
192	1500	5
192	1754	3
192	1912	5
192	2093	1
192	2108	4
192	2188	2
192	2294	3
192	2605	1
192	2857	4
192	2890	4
198	333	4
198	457	5
198	546	3
198	589	5
198	778	3
198	1013	4
198	1373	4
198	1459	4
198	1500	3
198	2126	3
198	2294	4
198	2527	4
198	2700	4
198	2794	4
198	2890	4
198	2915	3
198	3255	5
198	3268	2
198	3752	4
202	457	5
202	520	2
202	524	4
202	589	4
202	778	4
202	798	2
202	802	4
202	940	4
202	1091	4
202	1334	3
202	1381	1
202	1500	4
202	1624	4
202	1754	3
202	1888	4
202	1912	3
202	2072	3
202	2100	3
202	2108	4
202	2126	4
202	2188	2
202	2605	1
202	2664	4
202	2700	2
202	2701	3
202	2890	5
202	2915	4
202	3087	4
202	3255	4
202	3752	4
208	293	4
208	373	5
208	589	4
208	1912	3
208	1960	4
208	2100	3
208	2208	2
208	3649	2
222	589	5
222	2100	4
232	471	5
232	1091	1
232	1966	4
232	2700	5
240	457	3
240	589	3
240	1334	3
240	1373	3
240	1960	3
240	2100	2
240	2890	2
244	589	4
244	2100	5
244	2108	5
244	2915	4
248	457	5
248	589	3
257	293	5
257	457	5
257	589	4
274	778	4
274	1091	4
274	1284	5
274	2188	5
274	2605	4
274	2700	4
274	2701	3
274	2890	5
274	3255	5
277	293	4
277	589	4
283	1051	5
301	333	4
301	450	3
301	457	5
301	524	3
301	589	5
301	778	4
301	1845	5
301	1912	5
301	1960	4
301	2093	2
301	2102	4
301	2108	2
301	2126	2
301	2294	4
301	2700	5
301	2713	3
301	3255	4
301	3752	2
306	457	4
306	589	4
306	1091	4
306	1912	4
306	2700	4
306	2701	2
306	2794	4
306	2890	5
306	3255	4
306	3752	3
310	524	5
310	589	2
310	802	4
310	1399	4
310	1888	3
310	2294	4
310	2385	5
310	3255	4
310	3754	2
314	314	3
314	457	5
314	1012	4
314	1459	3
314	1907	4
314	1960	3
314	2072	1
314	2108	5
314	2208	3
314	2664	5
314	2857	2
314	2915	5
314	3475	2
328	457	3
328	589	4
328	1907	4
342	520	2
342	589	4
342	1373	2
342	1500	4
342	2072	4
342	2093	3
342	2700	3
342	3255	3
362	457	4
362	589	5
362	1912	4
366	457	4
366	1013	4
366	1235	4
366	1284	3
366	1334	1
366	1960	5
366	2100	3
366	2664	3
366	2669	4
371	471	3
371	589	1
371	1500	4
404	2700	3
417	1274	5
417	2700	3
417	2857	5
441	457	5
441	589	5
450	457	4
450	2890	5
458	1269	4
458	1284	4
464	778	5
464	1399	3
464	1960	4
464	2700	3
484	2701	4
484	3255	5
489	1012	2
499	1269	4
499	1888	3
499	3752	4
504	589	3
504	1269	3
504	1284	5
504	1459	4
504	1500	5
504	1912	5
504	2072	2
507	1235	5
508	589	4
508	1373	1
508	2664	3
508	2701	4
513	2072	1
524	82	2
524	257	3
524	293	5
524	373	4
524	457	5
524	506	2
524	778	5
524	802	3
524	1004	1
524	1034	5
524	1051	4
524	1091	3
524	1269	3
524	1284	5
524	1459	3
524	1472	3
524	1500	4
524	1601	2
524	1754	2
524	1845	5
524	1888	1
524	1912	5
524	2072	3
524	2100	4
